sentid, sentlen, numents, percentcorrect_spacy, percentcorrect_stanza
635,27,1,1.0,1.0
636,6,0,0,0
637,6,0,0,0
638,20,0,0,0
639,10,0,0,0
640,35,2,1.0,1.0
641,32,0,0,0
642,28,0,0,0
643,6,0,0,0
644,12,0,0,0
645,24,1,1.0,1.0
646,22,0,0,0
647,18,0,0,0
648,21,1,0.0,1.0
649,9,1,1.0,1.0
650,7,0,0,0
651,10,1,1.0,1.0
652,13,1,0.0,1.0
653,12,0,0,0
654,18,1,1.0,1.0
655,5,0,0,0
656,31,0,0,0
657,9,0,0,0
658,6,0,0,0
659,5,0,0,0
660,15,0,0,0
661,9,0,0,0
662,11,0,0,0
663,26,0,0,0
664,19,0,0,0
665,18,0,0,0
666,11,0,0,0
667,24,0,0,0
668,20,0,0,0
669,21,1,1.0,1.0
670,31,1,1.0,1.0
671,25,1,0.0,1.0
672,15,0,0,0
673,8,0,0,0
674,14,0,0,0
675,26,0,0,0
676,21,1,1.0,1.0
677,12,0,0,0
678,16,0,0,0
679,28,0,0,0
680,32,0,0,0
681,20,0,0,0
682,17,0,0,0
683,20,0,0,0
684,21,0,0,0
685,10,0,0,0
686,11,1,1.0,1.0
687,17,0,0,0
688,10,0,0,0
689,18,0,0,0
690,11,0,0,0
691,16,0,0,0
692,9,0,0,0
693,10,0,0,0
694,8,0,0,0
695,15,0,0,0
696,24,0,0,0
697,11,0,0,0
698,13,0,0,0
699,12,0,0,0
700,25,0,0,0
701,9,0,0,0
702,5,0,0,0
703,18,0,0,0
704,20,2,1.0,1.0
705,25,0,0,0
706,18,0,0,0
707,10,0,0,0
708,7,0,0,0
709,16,1,0.0,1.0
710,20,0,0,0
711,7,0,0,0
712,25,1,1.0,1.0
713,11,0,0,0
714,15,0,0,0
715,19,0,0,0
716,21,0,0,0
717,17,0,0,0
718,24,0,0,0
719,5,0,0,0
720,13,0,0,0
721,7,0,0,0
722,10,0,0,0
723,18,1,1.0,1.0
724,21,0,0,0
725,27,0,0,0
726,5,0,0,0
727,29,0,0,0
728,27,0,0,0
729,17,0,0,0
730,32,0,0,0
731,11,0,0,0
732,19,0,0,0
733,7,0,0,0
734,39,0,0,0
735,40,0,0,0
736,21,1,1.0,1.0
737,14,1,1.0,1.0
738,13,0,0,0
739,12,0,0,0
740,17,0,0,0
741,7,0,0,0
742,17,0,0,0
743,5,0,0,0
744,8,0,0,0
745,22,1,1.0,1.0
746,26,0,0,0
747,17,2,0.0,1.0
748,10,0,0,0
749,6,0,0,0
750,14,0,0,0
751,7,0,0,0
752,9,1,0.0,1.0
753,13,0,0,0
754,11,0,0,0
755,9,0,0,0
756,8,0,0,0
757,12,0,0,0
758,20,0,0,0
759,7,0,0,0
760,7,0,0,0
761,15,0,0,0
762,23,1,1.0,1.0
763,8,0,0,0
764,70,4,0.5,1.0
765,16,0,0,0
766,40,0,0,0
767,7,0,0,0
768,41,0,0,0
769,13,0,0,0
770,25,1,1.0,1.0
771,25,0,0,0
772,7,0,0,0
773,5,1,1.0,1.0
774,14,3,0.3333333333333333,0.3333333333333333
775,26,3,1.0,1.0
776,6,0,0,0
777,84,18,1.0,0.9444444444444444
778,17,4,0.75,1.0
779,24,2,0.5,0.5
780,5,2,1.0,1.0
781,14,2,1.0,1.0
782,11,0,0,0
783,11,1,0.0,1.0
784,10,2,1.0,1.0
785,5,1,0.0,1.0
786,4,1,1.0,1.0
787,3,1,0.0,1.0
788,15,3,1.0,1.0
789,17,2,1.0,1.0
790,12,0,0,0
791,10,0,0,0
792,17,6,1.0,1.0
793,15,2,1.0,1.0
794,11,1,1.0,1.0
795,11,2,1.0,0.5
796,19,2,1.0,1.0
797,23,2,1.0,1.0
798,74,5,0.6,1.0
799,22,3,1.0,1.0
800,14,2,1.0,1.0
801,17,2,1.0,1.0
802,20,1,0.0,0.0
803,17,1,1.0,1.0
804,16,1,1.0,1.0
805,8,0,0,0
806,22,1,1.0,1.0
807,14,2,1.0,1.0
808,51,7,0.8571428571428571,1.0
809,11,1,1.0,1.0
810,10,1,1.0,1.0
811,42,4,1.0,1.0
812,10,2,1.0,1.0
813,10,2,1.0,1.0
814,32,2,1.0,1.0
815,19,1,1.0,1.0
816,11,2,0.0,0.5
817,21,3,0.6666666666666666,1.0
818,22,2,1.0,1.0
819,26,3,1.0,1.0
820,14,2,1.0,1.0
821,7,0,0,0
822,11,1,1.0,1.0
823,11,2,1.0,1.0
824,7,1,1.0,1.0
825,44,2,0.5,1.0
826,31,2,1.0,1.0
827,18,2,1.0,1.0
828,15,1,1.0,1.0
829,17,1,1.0,1.0
830,33,3,1.0,1.0
831,11,3,1.0,1.0
832,18,2,1.0,1.0
833,24,3,0.6666666666666666,0.3333333333333333
834,12,1,0.0,0.0
835,20,2,0.5,1.0
836,13,1,1.0,1.0
837,8,0,0,0
838,5,0,0,0
839,26,0,0,0
840,18,0,0,0
841,7,0,0,0
842,11,1,1.0,1.0
843,25,0,0,0
844,9,1,1.0,1.0
845,10,0,0,0
846,6,0,0,0
847,8,1,0.0,0.0
848,34,1,1.0,1.0
849,19,2,0.0,0.0
850,23,2,1.0,1.0
851,32,2,1.0,1.0
852,7,1,1.0,1.0
853,31,0,0,0
854,13,0,0,0
855,44,6,1.0,1.0
856,11,1,1.0,1.0
857,30,1,1.0,1.0
858,31,1,1.0,1.0
859,12,2,0.5,1.0
860,36,1,1.0,1.0
861,9,0,0,0
862,12,0,0,0
863,28,3,0.3333333333333333,1.0
864,11,2,0.5,0.5
865,9,0,0,0
866,11,0,0,0
867,17,0,0,0
868,16,0,0,0
869,16,0,0,0
870,16,1,1.0,1.0
871,7,1,1.0,1.0
872,8,1,1.0,1.0
873,10,1,1.0,1.0
874,19,1,1.0,1.0
875,13,3,1.0,1.0
876,26,3,1.0,1.0
877,25,2,0.5,1.0
878,16,2,1.0,1.0
879,4,0,0,0
880,21,1,1.0,1.0
881,20,3,1.0,0.6666666666666666
882,22,2,1.0,1.0
883,7,0,0,0
884,19,1,1.0,1.0
885,12,0,0,0
886,8,0,0,0
887,6,0,0,0
888,9,1,1.0,1.0
889,22,1,1.0,1.0
890,24,0,0,0
891,13,0,0,0
892,15,0,0,0
893,32,2,1.0,1.0
894,19,1,1.0,1.0
895,54,3,0.3333333333333333,1.0
896,16,0,0,0
897,41,5,1.0,1.0
898,14,1,1.0,1.0
899,40,5,0.8,0.4
900,21,3,0.6666666666666666,1.0
901,35,4,1.0,1.0
902,4,0,0,0
903,49,5,1.0,1.0
904,21,3,0.6666666666666666,0.6666666666666666
905,20,2,1.0,1.0
906,18,1,1.0,1.0
907,25,2,0.5,0.5
908,11,0,0,0
909,22,0,0,0
910,19,0,0,0
911,30,3,1.0,1.0
912,32,1,1.0,1.0
913,14,1,1.0,1.0
914,19,2,0.0,0.0
915,11,2,1.0,0.0
916,36,0,0,0
917,43,1,0.0,1.0
918,11,0,0,0
919,13,1,1.0,1.0
920,40,0,0,0
921,12,0,0,0
922,19,0,0,0
923,20,2,1.0,1.0
924,12,1,1.0,1.0
925,14,1,1.0,1.0
926,19,0,0,0
927,19,1,0.0,1.0
928,7,1,1.0,1.0
929,12,1,1.0,1.0
930,17,0,0,0
931,24,0,0,0
932,18,0,0,0
933,15,3,1.0,1.0
934,12,0,0,0
935,11,0,0,0
936,8,0,0,0
937,7,1,1.0,0.0
938,22,2,0.5,0.5
939,4,0,0,0
940,18,1,1.0,1.0
941,21,0,0,0
942,15,0,0,0
943,5,0,0,0
944,8,0,0,0
945,10,0,0,0
946,12,0,0,0
947,25,1,1.0,1.0
948,23,1,1.0,1.0
949,26,1,1.0,1.0
950,26,0,0,0
951,30,1,1.0,1.0
952,10,0,0,0
953,29,1,1.0,1.0
954,7,0,0,0
955,11,1,0.0,1.0
956,6,0,0,0
957,14,0,0,0
958,30,2,0.5,0.5
959,31,0,0,0
960,8,0,0,0
961,42,2,0.5,1.0
962,10,0,0,0
963,23,2,1.0,1.0
964,7,1,1.0,1.0
965,9,0,0,0
966,21,2,1.0,1.0
967,8,1,1.0,1.0
968,18,0,0,0
969,20,1,1.0,1.0
970,8,1,1.0,1.0
971,19,0,0,0
972,11,1,0.0,1.0
973,4,0,0,0
974,19,1,1.0,1.0
975,7,0,0,0
976,35,0,0,0
977,11,0,0,0
978,36,3,1.0,1.0
979,9,0,0,0
980,17,3,1.0,1.0
981,10,3,1.0,1.0
982,37,3,1.0,1.0
983,12,0,0,0
984,28,1,1.0,1.0
985,29,4,1.0,1.0
986,20,2,0.5,0.5
987,5,1,1.0,1.0
988,20,4,1.0,1.0
989,17,0,0,0
990,11,1,1.0,1.0
991,42,6,1.0,1.0
992,9,1,1.0,1.0
993,17,1,1.0,1.0
994,14,0,0,0
995,13,0,0,0
996,8,0,0,0
997,8,0,0,0
998,24,0,0,0
999,14,1,1.0,1.0
1000,12,0,0,0
1001,32,3,1.0,1.0
1002,32,1,1.0,1.0
1003,6,0,0,0
1004,4,0,0,0
1005,14,2,1.0,1.0
1006,28,8,1.0,1.0
1007,27,1,1.0,1.0
1008,34,5,1.0,1.0
1009,23,4,0.75,1.0
1010,25,3,1.0,0.6666666666666666
1011,12,0,0,0
1012,42,5,1.0,1.0
1013,34,1,1.0,1.0
1014,14,2,1.0,1.0
1015,10,1,1.0,1.0
1016,6,1,1.0,1.0
1017,5,1,1.0,1.0
1018,7,2,1.0,1.0
1019,6,1,1.0,1.0
1020,6,1,1.0,1.0
1021,14,1,1.0,1.0
1022,17,0,0,0
1023,22,3,1.0,1.0
1024,11,1,1.0,1.0
1025,7,1,0.0,1.0
1026,9,0,0,0
1027,19,4,0.75,0.5
1028,21,2,1.0,1.0
1029,13,1,1.0,1.0
1030,15,1,1.0,1.0
1031,8,1,1.0,1.0
1032,9,3,1.0,1.0
1033,9,2,1.0,1.0
1034,15,0,0,0
1035,8,0,0,0
